2026-07-15 18:02:00 | job 5226906 | STARTING | age=18s | DDP backend=nccl | cuDNN=0 | UNI2_CKPT=/common/omarmlab/members/anh/panda_project/assets/ckpts/uni2-h/pytorch_model.bin |  | last=[] fail=[]
2026-07-15 18:02:45 | job 5226906 | STARTING | age=63s | DDP backend=nccl | cuDNN=0 | UNI2_CKPT=/common/omarmlab/members/anh/panda_project/assets/ckpts/uni2-h/pytorch_model.bin |  | last=[] fail=[]
2026-07-15 18:03:30 | job 5226906 | STARTING | age=108s | DDP backend=nccl | cuDNN=0 | UNI2_CKPT=/common/omarmlab/members/anh/panda_project/assets/ckpts/uni2-h/pytorch_model.bin |  | last=[] fail=[]
2026-07-15 19:43:20 | job 5226906 | OK | age=1262s | last=[=== Epoch 4: unfroze UNI2-h backbone (lr_backbone=1.00e-05) === Epoch 004/100 | train_loss=0.2908 | val_loss=0.2870 | lr=1.00e-04 | frozen=False | validated=1 | 1338s   mean_dice: 0.565  cancer_dice: 0.587 ] fail=[]
2026-07-15 19:46:20 | job 5226906 | OK | age=62s | last=[  mean_dice: 0.565  cancer_dice: 0.587 Epoch 005/100 | train_loss=0.2790 | val_loss=0.2770 | lr=9.99e-05 | frozen=False | validated=1 | 1331s   mean_dice: 0.572  cancer_dice: 0.602 ] fail=[]
2026-07-15 19:49:21 | job 5226906 | OK | age=242s | last=[  mean_dice: 0.565  cancer_dice: 0.587 Epoch 005/100 | train_loss=0.2790 | val_loss=0.2770 | lr=9.99e-05 | frozen=False | validated=1 | 1331s   mean_dice: 0.572  cancer_dice: 0.602 ] fail=[]
2026-07-15 19:52:21 | job 5226906 | OK | age=422s | last=[  mean_dice: 0.565  cancer_dice: 0.587 Epoch 005/100 | train_loss=0.2790 | val_loss=0.2770 | lr=9.99e-05 | frozen=False | validated=1 | 1331s   mean_dice: 0.572  cancer_dice: 0.602 ] fail=[]
2026-07-15 19:55:21 | job 5226906 | OK | age=602s | last=[  mean_dice: 0.565  cancer_dice: 0.587 Epoch 005/100 | train_loss=0.2790 | val_loss=0.2770 | lr=9.99e-05 | frozen=False | validated=1 | 1331s   mean_dice: 0.572  cancer_dice: 0.602 ] fail=[]
2026-07-15 19:58:21 | job 5226906 | OK | age=782s | last=[  mean_dice: 0.565  cancer_dice: 0.587 Epoch 005/100 | train_loss=0.2790 | val_loss=0.2770 | lr=9.99e-05 | frozen=False | validated=1 | 1331s   mean_dice: 0.572  cancer_dice: 0.602 ] fail=[]
2026-07-15 20:01:21 | job 5226906 | OK | age=962s | last=[  mean_dice: 0.565  cancer_dice: 0.587 Epoch 005/100 | train_loss=0.2790 | val_loss=0.2770 | lr=9.99e-05 | frozen=False | validated=1 | 1331s   mean_dice: 0.572  cancer_dice: 0.602 ] fail=[]
2026-07-15 20:04:21 | job 5226906 | OK | age=1142s | last=[  mean_dice: 0.565  cancer_dice: 0.587 Epoch 005/100 | train_loss=0.2790 | val_loss=0.2770 | lr=9.99e-05 | frozen=False | validated=1 | 1331s   mean_dice: 0.572  cancer_dice: 0.602 ] fail=[]
2026-07-15 20:07:21 | job 5226906 | OK | age=1322s | last=[  mean_dice: 0.565  cancer_dice: 0.587 Epoch 005/100 | train_loss=0.2790 | val_loss=0.2770 | lr=9.99e-05 | frozen=False | validated=1 | 1331s   mean_dice: 0.572  cancer_dice: 0.602 ] fail=[]
2026-07-15 20:10:21 | job 5226906 | OK | age=159s | last=[  mean_dice: 0.572  cancer_dice: 0.602 Epoch 006/100 | train_loss=0.2762 | val_loss=0.2755 | lr=9.98e-05 | frozen=False | validated=1 | 1336s   mean_dice: 0.590  cancer_dice: 0.630 ] fail=[]
